Nom du fichier;Date/Heure;Collagène (%);Tissu (%);Air utile (%);Temps de calcul (s);Erreur
NEX2400011A1 TRICHROME - 2024-04-18-1;18/10/2025 17:38;28.49;18.31;3.12;35.66;
NEX2400011B1 TRICHROME - 2024-04-18-2;18/10/2025 17:39;30.9;9.95;24.77;43.51;
NEX2400011C1 TRICHROME - 2024-04-18-3;18/10/2025 17:39;12.97;18.29;42.5;48.53;
NEX2400011D1 TRICHROME - 2024-04-18-4.2;18/10/2025 17:40;22.54;20.09;20.37;21.53;
NEX2400011E1 TRICHROME - 2024-04-18-5;18/10/2025 17:41;25.44;11.57;32.95;51.68;
NEX2400012A1 TRICHROME- 2024-04-19-1;18/10/2025 17:42;18.97;38.58;13.28;108.61;
NEX2400012B1 TRICHROME - 2024-04-19-2;18/10/2025 17:44;10.48;24.35;44.77;71.21;
NEX2400012C1 TRICHROME - 2024-04-19-3;18/10/2025 17:45;17.71;35.52;8.96;97.7;
NEX2400012D1 TRICHROME - 2024-04-19-4;18/10/2025 17:47;13.59;26.35;40.22;88.26;
NEX2400012E1 TRICHROME - 2024-04-19-5;18/10/2025 17:49;33.7;22.97;13.41;109.2;
NEX2400017A1 TRICHROME - 2024-05-16-1;18/10/2025 17:49;23.12;19.06;35.05;40.99;
NEX2400017A2 TRICHROME - 2024-05-16-2;18/10/2025 17:51;24.61;21.88;18.69;96.89;
NEX2400017A3 TRICHROME  - 2024-05-16-3;18/10/2025 17:52;24.7;25.56;11.77;57.82;
NEX2400017A4 TRICHROME - 2024-05-16-4;18/10/2025 17:53;18.8;14.28;38.7;74.41;
NEX2400017A5 TRICHROME - 2024-05-16-5;18/10/2025 17:55;31.02;17.61;22.42;100.94;
NEX2400017A6 TRICHROME - 2024-05-16-6;18/10/2025 17:56;41.51;22.09;6.35;68.92;
NEX2400018A1 TRICHROME - 2024-05-17-1;18/10/2025 17:56;;;;;Unable to allocate 44.9 GiB for an array with shape (1, 1, 88320, 182016, 3) and data type uint8
NEX2400018A2 TRICHROME - 2024-05-17-2;18/10/2025 17:58;;;;;Unable to allocate 9.00 GiB for an array with shape (26880, 89856) and data type float32
;;;;;;
