Nom du fichier;Date/Heure;Collagène (%);Tissu (%);Air utile (%);Temps de calcul (s);Erreur
NEX2400011A1 TRICHROME - 2024-04-18-1;18/10/2025 20:59;28.48;18.24;3.3;44.31;
NEX2400011B1 TRICHROME - 2024-04-18-2;18/10/2025 21:00;30.85;9.96;25.01;50.71;
NEX2400011C1 TRICHROME - 2024-04-18-3;18/10/2025 21:01;12.93;18.26;42.67;44.07;
NEX2400011D1 TRICHROME - 2024-04-18-4.2;18/10/2025 21:01;22.47;20.03;20.69;17.63;
NEX2400011E1 TRICHROME - 2024-04-18-5;18/10/2025 21:02;25.45;11.53;33.11;56.11;
NEX2400012A1 TRICHROME- 2024-04-19-1;18/10/2025 21:04;18.94;38.55;13.34;86.79;
NEX2400012B1 TRICHROME - 2024-04-19-2;18/10/2025 21:04;10.47;24.34;44.88;32.91;
NEX2400012C1 TRICHROME - 2024-04-19-3;18/10/2025 21:05;17.68;35.44;9.18;52.64;
NEX2400012D1 TRICHROME - 2024-04-19-4;18/10/2025 21:06;13.58;26.31;40.35;76.95;
NEX2400012E1 TRICHROME - 2024-04-19-5;18/10/2025 21:08;33.71;22.91;13.55;103.27;
NEX2400017A1 TRICHROME - 2024-05-16-1;18/10/2025 21:09;23.05;18.79;35.71;30.65;
NEX2400017A2 TRICHROME - 2024-05-16-2;18/10/2025 21:10;24.57;21.84;18.79;76.63;
NEX2400017A3 TRICHROME  - 2024-05-16-3;18/10/2025 21:11;24.65;25.47;11.92;44.16;
NEX2400017A4 TRICHROME - 2024-05-16-4;18/10/2025 21:12;18.74;14.21;38.87;61.42;
NEX2400017A5 TRICHROME - 2024-05-16-5;18/10/2025 21:13;30.99;17.63;22.5;83.5;
NEX2400017A6 TRICHROME - 2024-05-16-6;18/10/2025 21:14;41.45;22.08;6.5;54.88;
NEX2400018A1 TRICHROME - 2024-05-17-1;18/10/2025 21:14;;;;;Unable to allocate 44.9 GiB for an array with shape (1, 1, 88320, 182016, 3) and data type uint8
NEX2400018A2 TRICHROME - 2024-05-17-2;18/10/2025 21:16;8.95;33.09;35.3;137.88;
