Nom du fichier;Date/Heure;Collagène (%);Tissu (%);Air utile (%);Temps de calcul (s);Erreur
NEX2400011A1 TRICHROME - 2024-04-18-1;18/10/2025 18:50;28.44;17.96;3.14;36.4;
NEX2400011B1 TRICHROME - 2024-04-18-2;18/10/2025 18:50;30.98;9.7;24.8;46.62;
NEX2400011C1 TRICHROME - 2024-04-18-3;18/10/2025 18:51;12.7;18.23;42.5;52.85;
NEX2400011D1 TRICHROME - 2024-04-18-4.2;18/10/2025 18:52;22.24;19.97;20.37;22.92;
NEX2400011E1 TRICHROME - 2024-04-18-5;18/10/2025 18:53;25.45;11.34;32.98;52.02;
NEX2400012A1 TRICHROME- 2024-04-19-1;18/10/2025 18:54;18.83;38.61;13.36;107.83;
NEX2400012B1 TRICHROME - 2024-04-19-2;18/10/2025 19:25;10.38;24.38;44.82;1853.92;
NEX2400012C1 TRICHROME - 2024-04-19-3;18/10/2025 19:26;17.58;35.54;9.0;71.71;
NEX2400012D1 TRICHROME - 2024-04-19-4;18/10/2025 19:28;13.5;26.36;40.31;93.48;
NEX2400012E1 TRICHROME - 2024-04-19-5;18/10/2025 19:30;33.72;22.89;13.47;94.35;
NEX2400017A1 TRICHROME - 2024-05-16-1;18/10/2025 19:30;23.09;19.03;35.15;44.74;
NEX2400017A2 TRICHROME - 2024-05-16-2;18/10/2025 19:32;24.61;21.76;18.77;102.83;
NEX2400017A3 TRICHROME  - 2024-05-16-3;18/10/2025 19:33;24.65;25.48;11.82;64.09;
NEX2400017A4 TRICHROME - 2024-05-16-4;18/10/2025 19:34;18.75;14.2;38.75;70.62;
NEX2400017A5 TRICHROME - 2024-05-16-5;18/10/2025 19:36;31.07;17.47;22.52;109.64;
NEX2400017A6 TRICHROME - 2024-05-16-6;18/10/2025 19:38;41.64;21.94;6.45;75.52;
NEX2400018A1 TRICHROME - 2024-05-17-1;18/10/2025 19:38;;;;;Unable to allocate 44.9 GiB for an array with shape (1, 1, 88320, 182016, 3) and data type uint8
NEX2400018A2 TRICHROME - 2024-05-17-2;18/10/2025 19:41;8.72;33.22;35.33;201.45;
