Nom du fichier;Date/Heure;Collagène (%);Tissu (%);Air utile (%);Temps de calcul (s);Erreur
NEX2400011A1 TRICHROME - 2024-04-18-1;18/10/2025 18:08;28.33;17.9;3.39;31.06;
NEX2400011B1 TRICHROME - 2024-04-18-2;18/10/2025 18:08;30.92;9.67;25.0;37.44;
NEX2400011C1 TRICHROME - 2024-04-18-3;18/10/2025 18:09;12.67;18.07;42.78;39.02;
NEX2400011D1 TRICHROME - 2024-04-18-4.2;18/10/2025 18:09;22.14;19.8;20.77;17.86;
NEX2400011E1 TRICHROME - 2024-04-18-5;18/10/2025 18:10;25.36;11.35;33.21;39.02;
NEX2400012A1 TRICHROME- 2024-04-19-1;18/10/2025 18:11;18.79;38.58;13.46;71.77;
NEX2400012B1 TRICHROME - 2024-04-19-2;18/10/2025 18:12;10.36;24.35;44.95;32.84;
NEX2400012C1 TRICHROME - 2024-04-19-3;18/10/2025 18:12;17.53;35.46;9.2;49.29;
NEX2400012D1 TRICHROME - 2024-04-19-4;18/10/2025 18:17;13.47;26.29;40.45;273.03;
NEX2400012E1 TRICHROME - 2024-04-19-5;18/10/2025 18:18;33.69;22.77;13.64;73.13;
NEX2400017A1 TRICHROME - 2024-05-16-1;18/10/2025 18:19;23.02;18.75;35.86;28.54;
NEX2400017A2 TRICHROME - 2024-05-16-2;18/10/2025 18:20;24.58;21.72;18.86;71.83;
NEX2400017A3 TRICHROME  - 2024-05-16-3;18/10/2025 18:21;24.63;25.43;11.99;39.72;
NEX2400017A4 TRICHROME - 2024-05-16-4;18/10/2025 18:21;18.65;14.15;38.96;53.57;
NEX2400017A5 TRICHROME - 2024-05-16-5;18/10/2025 18:23;31.08;17.43;22.6;73.26;
NEX2400017A6 TRICHROME - 2024-05-16-6;18/10/2025 18:24;41.57;21.9;6.57;49.44;
NEX2400018A1 TRICHROME - 2024-05-17-1;18/10/2025 18:24;;;;;Unable to allocate 44.9 GiB for an array with shape (1, 1, 88320, 182016, 3) and data type uint8
NEX2400018A2 TRICHROME - 2024-05-17-2;18/10/2025 18:26;8.72;33.15;35.39;116.39;
